Column Name	Column Description	Full Column Name	Type	Count of Values
AY	Academic year	Academic Year	Text	10,995
Form	Title of submission form	Data Form	Text	10,995
Form-Type	Certification or Registration form	Form Type	Text	10,995
Timestamp	Timestamp of form submission	Timestamp	Date	10,995
AM-PM	AM or PM of timestamp	AM-PM	Text	10,995
Year-Date	Year of timestamp formatted as a date	Year_Date	Date	10,995
Year-Num	Year of timestamp formatted as a number	Year_Num	Number	10,995
Month-Num	Month of timestamp formatted as a number	Month_Num	Number	10,995
Month-Char	Month of timestamp formatted as text	Month_Char	Text	10,995
UniqueID	Unique Identifier (replaced student name)	Unique Identifier	Number	10,995
UMD-Email-Suffix-OG	UMD email suffix (@umd.edu or @terpmail.umd.edu) or other without data cleaning	UMD Email Suffix Original	Text	10,995
UMD-Email-Suffix-Clean	UMD email suffix (@umd.edu or @terpmail.umd.edu) or other with data cleaning	UMD Email Suffix Cleaned	Text	10,995
Email-Suffix	Other email suffix with data cleaning	Email Address Suffix	Text	9,543
Grade	Grade at time of submission	Grade Level	Text	10,995
Grade-Num	Grade as a number (1 = first year, 2 = sophomore,..., 5 = graduate student) at time of submission	Numeric Grade Level	Number	10,995
Green-Chapter	Indicates if the form was submitted for Green Chapter certification	Green Chapter - Yes-No	Text	10,995
Housing	Housing type (on-campus, off-campus, fraternity or sorority)	Living Situation	Text	10,995
Green-Chapter_House	Fraternity or Sorority House for verification of Green Chapter certification	Green Chapter - Select Fraternity or Sorority House	Text	4,934
House	Fraternity or Sorority House (includes both Green Chapter and non-Green Chapter participants)	Fraternity or Sorority House	Text	4,920
Res-Hall	Residence Hall (includes South Campus Commons)	Residence Hall or Affiliated University Housing:	Text	5,956
Room-Num	Room number or apartment number of on- and off-campus housing	Room Number, Apartment Number , or Suite Number (or type N/A if not applicable)	Text	1,354
Apartment	Local off-campus apartment complexes	Apartment Complex, House	Text	674
Address_Full	General street addresses of campus housing, off-campus apartments or houses	Enter your Street Address (including Unit, City, State, Zipcode).	Location	8,823
City	City of street address	City	City	9,145
State	State of street address	State	State	9,145
Zipcode	Zipcode of street address	Zipcode	Zipcode	9,153
Full_Choices	Select all option of eight (8) potential choices	Confirm that you commit to making sustainable choices in all of these areas: (select all)	Text (Select All)	5,747
Choices_Reduce	Indicates if option "I will reduce waste, recycle and compost" was selected in the sustainable choices question. Binary: 1 = Yes, 0 = No	Sustainable Choices - I will reduce waste, recycle & compost	Binary	10,995
Choices_Products	Indicates if option "I will choose safe and green products" was selected in the sustainable choices question. Binary: 1 = Yes, 0 = No	Sustainable Choices - I will choose safe & green products	Binary	10,995
Choices_Commute	Indicates if option "I will commute greener (smart)" was selected in the sustainable choices question. Binary: 1 = Yes, 0 = No	Sustainable Choices - I will commute greener (smart)	Binary	10,995
Choices_Dine	Indicates if option "I will dine sustainably (eat ethically, dine green)" was selected in the sustainable choices question. Binary: 1 = Yes, 0 = No	Sustainable Choices - I will dine sustainably (eat ethically, dine green)	Binary	10,995
